[Monitor]Player count 15,room running count 5/0/0/0,room count 5/0/0/0
[Monitor]Player count 37,room running count 12/0/0/0,room count 13/0/0/0
[Monitor]Player count 60,room running count 20/0/0/0,room count 20/0/0/0
[Monitor]Player count 59,room running count 20/0/0/0,room count 20/0/0/0
[Monitor]Player count 60,room running count 20/0/0/0,room count 20/0/0/0
[Monitor]Player count 59,room running count 20/0/0/0,room count 20/0/0/0
[Monitor]Player count 58,room running count 20/0/0/0,room count 20/0/0/0
[Monitor]Player count 60,room running count 20/0/0/0,room count 20/0/0/0
[Monitor]Player count 58,room running count 20/0/0/0,room count 20/0/0/0
[Monitor]Player count 59,room running count 20/0/0/0,room count 20/0/0/0
[Monitor]Player count 60,room running count 20/0/0/0,room count 20/0/0/0
[Monitor]Player count 58,room running count 20/0/0/0,room count 20/0/0/0
[Monitor]Player count 57,room running count 19/0/0/0,room count 20/0/0/0
[Monitor]Player count 55,room running count 19/0/0/0,room count 20/0/0/0
[Monitor]Player count 57,room running count 19/0/0/0,room count 20/0/0/0
[Monitor]Player count 56,room running count 19/0/0/0,room count 20/0/0/0
[Monitor]Player count 55,room running count 18/0/0/0,room count 20/0/0/0
[Monitor]Player count 53,room running count 18/0/0/0,room count 20/0/0/0
[Monitor]Player count 55,room running count 19/0/0/0,room count 20/0/0/0
[Monitor]Player count 54,room running count 18/0/0/0,room count 20/0/0/0
[Monitor]Player count 53,room running count 18/0/0/0,room count 20/0/0/0
[Monitor]Player count 54,room running count 18/0/0/0,room count 20/0/0/0
[Monitor]Player count 52,room running count 18/0/0/0,room count 20/0/0/0
[Monitor]Player count 54,room running count 19/0/0/0,room count 20/0/0/0
[Monitor]Player count 53,room running count 19/0/0/0,room count 20/0/0/0
[Monitor]Player count 51,room running count 19/0/0/0,room count 20/0/0/0
[Monitor]Player count 52,room running count 19/0/0/0,room count 20/0/0/0
[Monitor]Player count 54,room running count 19/0/0/0,room count 20/0/0/0
[Monitor]Player count 50,room running count 19/0/0/0,room count 20/0/0/0
[Monitor]Player count 53,room running count 19/0/0/0,room count 20/0/0/0
[Monitor]Player count 52,room running count 19/0/0/0,room count 20/0/0/0
[Monitor]Player count 51,room running count 19/0/0/0,room count 20/0/0/0
[Monitor]Player count 52,room running count 19/0/0/0,room count 20/0/0/0
[Monitor]Player count 51,room running count 19/0/0/0,room count 20/0/0/0
[Monitor]Player count 52,room running count 18/0/0/0,room count 20/0/0/0
